URL,Status_Code,Title,Meta_Description,H1,H2s,Canonical,Meta_Robots,Word_Count,Internal_Links,External_Links,Image_Count,Images_With_Alt_Count
https://www.ikea.com/in/en/,200,"IKEA India-Affordable home furniture, designs & ideas - IKEA","We have lowered our prices ! Find affordable home furnishings solutions, all in one store. Shop quality home furniture, decor, and furniture accessories. We offer a wide range of sofas, beds, mattresses, wardrobes, modular kitchen, dining tables, and chairs.",Welcome to IKEA India,Popular picks | What’s hot & trending? | Today's best deals,https://www.ikea.com/in/en/,"index, follow",1214,149,0,101,55
https://www.ikea.com/in/en/favourites/,200,Favourites - IKEA,Find all your lists in one place. Categorise your favourites into different lists and save them here.,Lists,,,max-image-preview:large,31,1,0,0,0
https://www.ikea.com/in/en/shoppingcart/,200,IKEA,,,,,max-image-preview:large,5,1,0,0,0
https://www.ikea.com/in/en/cat/storage-organisation-st001/,200,Buy Storage and Home Organiser Products Online in India - IKEA,"Discover the types of storage and home organizer items like storage boxes, cutlery organiser, drawer organiser for your home. Shop now at IKEA.",Storage & organisation,Storage for every space at home | Swipe through large storage solutions | Simplify your bedroom storage,https://www.ikea.com/in/en/cat/storage-organisation-st001/,"index, follow",1044,80,0,71,71
https://www.ikea.com/in/en/cat/sofas-armchairs-700640/,200,Sofas & armchairs - IKEA,Sofas & armchairs,Sofas & armchairs,New colour for best selling FRIHETEN sofa bed | Our most popular picks | Shop sofas by colour,https://www.ikea.com/in/en/cat/sofas-armchairs-700640/,"index, follow",394,44,0,28,23
https://www.ikea.com/in/en/cat/office-furniture-fu004/,200,Office Furniture for Comfort & Productivity  - IKEA,"Upgrade your workspace with office furniture that blends style, comfort, and smart storage. Perfect for home or office. Shop at IKEA.",Office furniture,4 Home Office setups that are taking over 2025 | Shop now and get up to Rs.5 Lakh* back! | This is our most space-efficient height-adjustable desk ever,https://www.ikea.com/in/en/cat/office-furniture-fu004/,"index, follow",2000,61,0,36,36
https://www.ikea.com/in/en/cat/tables-chairs-fu002/,200,Tables & Chairs for Every Room & Style - IKEA,"From dining to study to lounging—find tables & chairs that suit your space, style, and needs perfectly. Shop at IKEA.",Tables & chairs,"Where lazy mornings meet midnight deadlines | Shop now and get up to Rs.5 Lakh* back! | More dining, less spending—discover smart picks!",https://www.ikea.com/in/en/cat/tables-chairs-fu002/,"index, follow",1570,66,0,44,44
https://www.ikea.com/in/en/cat/beds-mattresses-bm001/,200,Bed Mattresses - Buy top rated bed mattresses online at affordable price in india. - IKEA,At IKEA we make your comfort our priority. That's why our top-rated bed mattresses are of the best quality and come in different sizes and materials to suit your needs. Discover our collection of high-quality bed mattresses for you and your family.,Beds & mattresses,"Looking for beds with storage? | Maximize the storage in your bedroom | Compact to spacious, find your perfect bed.",https://www.ikea.com/in/en/cat/beds-mattresses-bm001/,"index, follow",1727,124,0,75,67
https://www.ikea.com/in/en/cat/kitchenware-tableware-kt001/,200,Buy Kitchenware Online At Affordable Price in India - IKEA,"Buy our selection of kitchenware, crockery, tableware, cutlery and more to complete your table setting. Explore variety of styles, textures, patterns and materials. Shop now at IKEA.",Kitchenware & tableware,Serve lunch in style with elegant crockery | Serve lunch in style with elegant crockery | Crockery to reflect your style,https://www.ikea.com/in/en/cat/kitchenware-tableware-kt001/,"index, follow",1851,195,0,165,165
https://www.ikea.com/in/en/cat/home-decor-de001/,200,Home Decor - Buy home decor items online in India - IKEA,Browse IKEA's home decor accessories at low prices. Choose from a range of brilliant decoration items to make your house a home. Shop now!,Home Decor,Elevate your home with fall-inspired touches. | Fall decor to cozy up your space | Explore more flowers for your home,https://www.ikea.com/in/en/cat/home-decor-de001/,"index, follow",2563,177,0,136,130
https://www.ikea.com/in/en/cat/textiles-tl001/,200,Textiles - Buy Home Textile Online at Affordable Price - IKEA,"Buy a textile products online from IKEA like bedsheets, cushion, covers, etc. for your home. Click for more options.",Home textiles,Flat 15% off* on bed sheets & pillow covers. | Create a fresh new look with bed linen | Explore news in textiles,https://www.ikea.com/in/en/cat/textiles-tl001/,"index, follow",730,78,0,40,40
https://www.ikea.com/in/en/cat/outdoor-products-od001/,200,Outdoor Products - Buy garden products online at affordable price in india. - IKEA,"Enjoy the pleasant weather with our collection of outdoor products and garden furniture. We have garden products in aluminium, acacia, rattan and a large variety of materials, styles and sizes. Discover all your outdoor favourites online or in-store!",Outdoor products,Flat 15% off* on outdoor dining furniture. | Perfect outdoor furniture for this summer | Weather-resistant outdoor furniture sets for every space,https://www.ikea.com/in/en/cat/outdoor-products-od001/,"index, follow",836,89,0,64,64
https://www.ikea.com/in/en/cat/lighting-li001/,200,Buy Lamp and Lights Online in India at Affordable Price - IKEA,"Buy lamps and lights from IKEA store. From bedside lamps to outdoor lights and LED strips, we have a wide selection. Shop now at IKEA.",Lighting,"Make every space, perfectly lit​ | Light the way to beautiful moments | Lights to reimagine your home ​",https://www.ikea.com/in/en/cat/lighting-li001/,"index, follow",1192,158,0,149,149
https://www.ikea.com/in/en/cat/small-storage-organisers-st007/,200,Small storage & organisers : Buy Small storage & organisers  - IKEA,Buy Small storage & organisers,Small storage & organisers,Let’s Get Tidy | A secret to a tidy home? Hide it all in a box | Everyday storage made easy,https://www.ikea.com/in/en/cat/small-storage-organisers-st007/,"index, follow",1140,90,0,70,70
https://www.ikea.com/in/en/cat/kitchen-furniture-and-accessories-ka001/,200,Buy kitchen furniture and kitchen furniture online - IKEA,"Discover the latest modular kitchen accessories, kitchen appliances and kitchen furniture online at IKEA. Find the perfect solution for your home and budget. Shop now.",Modular kitchens,"Find the perfect kitchen for you | Move it, store it, love it | Shop now and get up to Rs.5 Lakh* back!",https://www.ikea.com/in/en/cat/kitchen-furniture-and-accessories-ka001/,"index, follow",3083,163,4,104,102
https://www.ikea.com/in/en/cat/bathroom-products-ba001/,200,Bathroom Products - Buy  online at affordable price in india. - IKEA,"Make morning routines smoother, and refresh your bathrooms with our bathroom products. We've got towel rails, shelf units, mirrors and anything else you need to organise your things. Explore our collection of bathroom products for a relaxing time.",Bathroom products,Make a style statement in your bathroom | Our coordinated bathroom systems | Our coordinated bathroom accessory sets,https://www.ikea.com/in/en/cat/bathroom-products-ba001/,"index, follow",944,83,0,51,47
https://www.ikea.com/in/en/cat/baby-children-bc001/,200,"Buy Toys, Storage, Beds for baby and children in India - IKEA",Explore baby and children's products from IKEA to create a fashionable and safe environment for your small ones. Shop now at IKEA.,Baby & children,IKEA: furnishing your childhood | Shop NEW in children's products | All things for the little one’s paradise,https://www.ikea.com/in/en/cat/baby-children-bc001/,"index, follow",1316,95,0,62,62
https://www.ikea.com/in/en/cat/laundry-cleaning-lc001/,200,Utility Room - Buy laundry online at affordable price in india. - IKEA,"Check out our utility room and laundry products to make sorting, washing, drying and folding your clothes much easier. Find baskets, clothes pegs, bathroom towels and more products at our IKEA page. Discover the pleasure of freshly-washed laundry!",Laundry & cleaning,From chores to – almost – fun | Laundry baskets for every style and budget | It’s almost a shame to use it for laundry,https://www.ikea.com/in/en/cat/laundry-cleaning-lc001/,"index, follow",714,20,0,22,22
https://www.ikea.com/in/en/cat/pots-plants-pp001/,200,Planters - Buy house plants online at affordable price in india. - IKEA,"Planning to take up gardening as a hobby? With our planters and house plants range, you'll find something to add to your home garden. Browse our garden planters in different sizes and colours to find a cosy home for your plants. Shop online today.",Pots & plants,A new buddy for your pot collection | Bring the outdoors inside | New artificial flowers that flourish all year long,https://www.ikea.com/in/en/cat/pots-plants-pp001/,"index, follow",369,27,0,17,16
https://www.ikea.com/in/en/cat/food-beverages-fb001/,200,Food and Beverages - Quality Options at IKEA - IKEA,Use the food and beverage basics from IKEA to elevate your dining experience. Discover premium goods made in India that can enhance your eating experiences.,Food & beverages,"Good food, in every way | Good food, Great prices! | Experience our vegetable and chicken balls",https://www.ikea.com/in/en/cat/food-beverages-fb001/,"index, follow",457,31,0,19,15
https://www.ikea.com/in/en/cat/home-improvement-hi001/,200,Home Maintenance - Buy products to improve your home - IKEA,"At IKEA, we take home improvement very seriously. Visit our page for ideas on DIY home solutions like changing doorknobs, laying outdoor flooring and more. There's also our home decoration and child safety range to keep your space stylish and safe.",Home improvement,An easy change of scene | Home improvement tips | Tools and fittings for all your DIY needs,https://www.ikea.com/in/en/cat/home-improvement-hi001/,"index, follow",212,28,0,11,10
https://www.ikea.com/in/en/cat/home-smart-hs001/,200,"Smart Home-Air Purifier, Wifi Speaker, Smart Light, Steering - IKEA","Buy home smart products online from IKEA. Explore air purifier, wifi speaker, smart light and steering for your home. Shop now!",Smart home,"Life at home, a little bit smarter | Better sleep at your fingertips | Speakers that sound great and blend in nicely",https://www.ikea.com/in/en/cat/home-smart-hs001/,"index, follow",590,36,0,24,23
https://www.ikea.com/in/en/cat/home-electronics-he001/,200,Home Electronics - Buy electronics online at affordable price in india. - IKEA,"Visit our page for home electronics that make your life easier. From mobile and tablets accessories to kitchen appliances and smart lighting, we try to make your home smarter with our electronics. Browse for our electronics online or in-store today!",Home electronics,Need a breath of fresh air? | Great sound in every corner of your home | Home electronics tips and guides,https://www.ikea.com/in/en/cat/home-electronics-he001/,"index, follow",689,15,0,10,10
https://www.ikea.com/in/en/cat/pet-products-pt001/,200,Pet Products - Buy a bowl and bedding cushion for your pets - IKEA,Buy pet products from IKEA. Explore the pets furniture and accessories online. Browse our pet supplies for your furry family member.,Pet products,"And now something for the furry family members | Everyone serves beautiful dinnerware, even cats and dogs.",https://www.ikea.com/in/en/cat/pet-products-pt001/,"index, follow",141,7,0,3,0
https://www.ikea.com/in/en/cat/christmas-collections-wt001/,200,Christmas Collections - Buy Christmas Items Online - IKEA,Explore the winter christmas collections from IKEA online. Get the best deal for you and your family. Shop at IKEA online.,Christmas Collections,Meet your fuss-free Christmas tree | VINTERFINT collection | 4 simple steps to choosing the perfect Christmas tree,https://www.ikea.com/in/en/cat/christmas-collections-wt001/,"index, follow",865,66,0,57,57
https://www.ikea.com/in/en/cat/curtains-blinds-tl002/,200,Buy Window Curtains and Blinds at Best Price in India - IKEA,Buy blinds and window curtains at IKEA. Explore a wide range of curtains & blinds to style your home windows with ease and elevate your home décor. Shop Now.,Curtains & blinds,A classic window treatment | Ideas to help you get the most from your curtains | Buy stylish curtains & blinds for your home,https://www.ikea.com/in/en/cat/curtains-blinds-tl002/,"index, follow",1318,22,0,4,4
https://www.ikea.com/in/en/cat/furniture-fu001/,200,Buy Furniture Online in India – Affordable Home Furniture - IKEA,"Discover a wide range of affordable home furniture online at IKEA India. Shop sofas, beds, tables, wardrobes, and more to create your perfect home.",Furniture,"Same cosy spot, whole new energy | Shop by category | 5 Furniture Trends for 2025",https://www.ikea.com/in/en/cat/furniture-fu001/,"index, follow",3919,179,3,128,128
https://www.ikea.com/in/en/offers/,200,"IKEA Offers: New lower price, bank offers & more! - IKEA","From our lowest prices to clearance sale to IKEA Family offers, shop your favourite IKEA products at the best prices.",All offers,"Rainy days, cozy deals!",https://www.ikea.com/in/en/offers/,"index, follow",113,12,0,8,8
https://www.ikea.com/in/en/rooms/bedroom/,200,Buy Bedroom Furniture Online in India at Best Price | - IKEA,"Buy bedroom furniture online in India at an affordable price. Find stylish, high-quality beds, wardrobes,  and more. Shop online or visit your nearest store.",Bedroom,Featured bedrooms | Make every morning feel sunny side up | Make room for comfort: De-clutter your bedroom,https://www.ikea.com/in/en/rooms/bedroom/,"index, follow",2471,132,0,84,73
https://www.ikea.com/in/en/rooms/living-room/,200,Buy Living Room Furniture Online in India | - IKEA,"Shop living room furniture online at IKEA India. Explore a wide range of stylish, affordable sofas, coffee tables, TV units, and more to create your perfect living space.",Living room,Inspiration for your living room | Pick your favourite style. Make it yours | This just in: New arrivals for your living room,https://www.ikea.com/in/en/rooms/living-room/,"index, follow",2505,114,0,86,86
https://www.ikea.com/in/en/rooms/childrens-room/,200,"Baby and children’s room furniture, ideas and more - IKEA","Imagine your kid’s room with furniture, bed linen, toys and more that they love. Check out the IKEA website for baby and children room products and tips.",Children's room,Inspirational ideas for your baby or kids’ room | Featured baby and kids’ rooms | Stay focused without distractions,https://www.ikea.com/in/en/rooms/childrens-room/,"index, follow",1062,131,0,88,88
https://www.ikea.com/in/en/rooms/home-office/,200,A home office for every space and activity - IKEA,"Are you looking for office furniture for your home office? Consider the IKEA range of desk chairs, desks, and more! Shop online or find a store near you.",Home office,"Featured workspaces at home | Work, play, create | Shop now and get up to Rs.5 Lakh* back!",https://www.ikea.com/in/en/rooms/home-office/,"index, follow",454,37,0,21,21
https://www.ikea.com/in/en/rooms/kitchen/,200,Kitchen - Built your own perfect modular kitchen - IKEA,Explore IKEA's range for modern kitchens and modular kitchen solutions. Find innovative modular kitchen designs for a stylish and functional kitchen setup. Enquire today.,Kitchen,1. Explore | 2. Choose | Kitchen cabinets,https://www.ikea.com/in/en/rooms/kitchen/,"index, follow",2958,111,2,63,58
https://www.ikea.com/in/en/rooms/dining/,200,Dining room furniture for every home - IKEA,Looking for separate styles or coordinated sets for your dining room? The IKEA dining furniture range has something for everyone. Find your favourite here.,Dining,"Dining trends you’ll want a seat at | Dining for two or more | Smart spaces, seamless dining",https://www.ikea.com/in/en/rooms/dining/,"index, follow",809,116,0,76,71
https://www.ikea.com/in/en/rooms/bathroom/,200,Bathrooms for every style and budget - IKEA,"The bathroom might be your smallest room, but it’s big on style and comfort. Browse our bathroom solutions and learn how to get your own dream bathroom.",Bathroom,Bathroom Accessories | Bathroom Furniture | Featured bathrooms,https://www.ikea.com/in/en/rooms/bathroom/,"index, follow",810,108,0,89,89
https://www.ikea.com/in/en/rooms/outdoor/,200,Outdoor furniture Ideas | Balcony Furniture Ideas - IKEA,"Are you looking for garden furniture for your outdoor space? Consider the IKEA range of sturdy, easy-to-love pieces. Shop online or find a store near you.",Outdoor,"A gallery of balcony, patio and outdoor space ideas | Featured outdoor spaces | Create your secret garden spot",https://www.ikea.com/in/en/rooms/outdoor/,"index, follow",384,37,0,20,20
https://www.ikea.com/in/en/rooms/hallway/,200,"Hallway inspiration, furniture and more - IKEA","Make your hallway tidy and welcoming with good quality hallway furniture at affordable prices. Find storage for all those shoes, coats and more. Shop today.",Hallway,Inspirational ideas for your hallway | Featured hallways | Is your hallway feeling the seasonal strain?,https://www.ikea.com/in/en/rooms/hallway/,"index, follow",819,88,0,65,62
https://www.ikea.com/in/en/cat/lower-price/,200,New Lower Price - Shop discount furniture online - IKEA,New discounts on your preloved products! Explore our full range of new lower price offers on furniture and home furnishing products. Shop new deals today!,New lower price,Sort and Filter | Results list,https://www.ikea.com/in/en/cat/lower-price/,"index, follow",889,78,0,64,55
https://www.ikea.com/in/en/cat/lowest-price/,200,Best Price Furniture - Low price furniture & Home furnishing - IKEA,Shop the lowest price on IKEA products on furniture and home furnishing. without compromise on quality. Shop best deals today!,Our lowest prices,A great product for just Rs.399 | Sort and Filter | Results list,https://www.ikea.com/in/en/cat/lowest-price/,"index, follow",554,56,0,52,52
https://www.ikea.com/in/en/offers/family-offers/,200,IKEA Family Discount - Exclusive offers for Family members - IKEA,Shop the latest IKEA Family Member discounts to enjoy fantastic offers on furniture and home furnishing items. Discover the best IKEA Family deals!,IKEA Family,Sort and Filter | Results list,https://www.ikea.com/in/en/offers/family-offers/,"index, follow",174,10,0,6,6
https://www.ikea.com/in/en/new/,200,"The season’s latest styles, inspiration and products. - IKEA",Need home decoration inspiration? Here you’ll find the latest home decoration looks and products from IKEA. Shop online or at your nearest IKEA store.,What's new at IKEA,"Explore the new articles | Scandinavian modern design made with traditional craftsmanship | One box, endless possibilities",https://www.ikea.com/in/en/new/,"index, follow",998,92,0,93,90
